GENE_NAME	ANNOT
ACVR2A	gastrulation with mouth forming second;positive regulation of bone mineralization;positive regulation of osteoblast differentiation;positive regulation of protein phosphorylation;BMP signaling pathway;positive regulation of follicle-stimulating hormone secretion;transmembrane receptor protein serine/threonine kinase signaling pathway;regulation of BMP signaling pathway;embryonic skeletal system development;spermatogenesis;activin receptor signaling pathway;regulation of nitric-oxide synthase activity;determination of left/right symmetry;positive regulation of activin receptor signaling pathway;Sertoli cell proliferation;mesoderm development;sperm ejaculation;anterior/posterior pattern specification;penile erection;response to organic substance;positive regulation of erythrocyte differentiation
ACVR2B	"signal transduction;anterior/posterior pattern specification;organ growth;transmembrane receptor protein serine/threonine kinase signaling pathway;insulin secretion;odontogenesis of dentin-containing tooth;determination of left/right symmetry;lung development;positive regulation of osteoblast differentiation;pattern specification process;positive regulation of bone mineralization;embryonic foregut morphogenesis;mesoderm development;BMP signaling pathway;skeletal system morphogenesis;gastrulation with mouth forming second;heart development;pancreas development;palate development;kidney development;response to glucose stimulus;activation of protein kinase activity;regulation of transcription, DNA-dependent;post-embryonic development;positive regulation of activin receptor signaling pathway"
ACVR2B-AS1	-
ACVRL1	"regulation of endothelial cell proliferation;negative regulation of cell adhesion;negative regulation of cell growth;protein heterooligomerization;negative regulation of endothelial cell proliferation;signal transduction;negative regulation of cell migration;negative regulation of focal adhesion assembly;positive regulation of endothelial cell proliferation;transmembrane receptor protein serine/threonine kinase signaling pathway;positive regulation of BMP signaling pathway;blood vessel maturation;transforming growth factor beta receptor signaling pathway;wound healing, spreading of epidermal cells;blood vessel endothelial cell proliferation involved in sprouting angiogenesis;blood circulation;regulation of blood vessel endothelial cell migration;regulation of DNA replication;regulation of blood pressure;negative regulation of endothelial cell differentiation;angiogenesis;regulation of transcription, DNA-dependent;negative regulation of cell proliferation;positive regulation of endothelial cell differentiation;in utero embryonic development;protein phosphorylation;negative regulation of endothelial cell migration;positive regulation of transcription, DNA-dependent"
ACY1	proteolysis;cellular amino acid metabolic process;metabolic process
ACY3	metabolic process;interspecies interaction between organisms
ACYP1	phosphate-containing compound metabolic process
ACYP2	phosphate-containing compound metabolic process
ADA	"in utero embryonic development;negative regulation of mature B cell apoptosis;positive regulation of heart rate;negative regulation of apoptotic process;inosine biosynthetic process;positive regulation of T cell receptor signaling pathway;histamine secretion;purine base metabolic process;positive regulation of B cell proliferation;purine-containing compound salvage;xanthine biosynthetic process;nucleobase-containing small molecule metabolic process;trophectodermal cell differentiation;adenosine catabolic process;purine nucleotide salvage;hypoxanthine salvage;positive regulation of alpha-beta T cell differentiation;negative regulation of adenosine receptor signaling pathway;liver development;deoxyadenosine catabolic process;positive regulation of T cell differentiation in thymus;response to morphine;lung alveolus development;negative regulation of penile erection;placenta development;cell adhesion;regulation of cell-cell adhesion mediated by integrin;small molecule metabolic process;Peyer's patch development;negative regulation of thymocyte apoptosis;germinal center B cell differentiation;aging;T cell activation;regulation of circadian sleep/wake cycle, sleep;embryonic digestive tract development;negative regulation of mucus secretion;positive regulation of germinal center formation;nucleotide metabolic process;negative regulation of circadian sleep/wake cycle, non-REM sleep;positive regulation of smooth muscle contraction;negative regulation of inflammatory response;response to hypoxia;negative regulation of leukocyte migration;purine ribonucleoside monophosphate biosynthetic process;response to hydrogen peroxide;dATP catabolic process;positive regulation of calcium-mediated signaling"
ADAD1	spermatogenesis;spermatid development;cell differentiation;RNA processing;multicellular organismal development
ADAD2	RNA processing
ADAL	adenosine catabolic process;nucleotide metabolic process;purine ribonucleoside monophosphate biosynthetic process;hypoxanthine salvage;inosine biosynthetic process
ADAM10	proteolysis;positive regulation of cell proliferation;membrane protein ectodomain proteolysis;positive regulation of T cell chemotaxis;negative regulation of cell adhesion;positive regulation of cell growth;epidermal growth factor receptor signaling pathway;positive regulation of cell migration;Notch signaling pathway;response to tumor necrosis factor;Notch receptor processing;monocyte activation;in utero embryonic development;integrin-mediated signaling pathway;PMA-inducible membrane protein ectodomain proteolysis;protein phosphorylation;cell-cell signaling;constitutive protein ectodomain proteolysis
ADAM11	proteolysis;integrin-mediated signaling pathway
ADAM12	myoblast fusion;proteolysis;cell adhesion;epidermal growth factor receptor signaling pathway
ADAM15	proteolysis;cell adhesion;cell-matrix adhesion;collagen catabolic process;tissue regeneration;cardiac epithelial to mesenchymal transition;angiogenesis
ADAM17	"membrane protein ectodomain proteolysis;positive regulation of cell growth;regulation of mast cell apoptosis;spleen development;anti-apoptosis;positive regulation of cell migration;T cell differentiation in thymus;cell motility;response to hypoxia;cell adhesion;positive regulation of transforming growth factor beta receptor signaling pathway;cell adhesion mediated by integrin;PMA-inducible membrane protein ectodomain proteolysis;positive regulation of protein phosphorylation;epidermal growth factor receptor signaling pathway;membrane protein intracellular domain proteolysis;wound healing, spreading of epidermal cells;positive regulation of cellular component movement;neutrophil mediated immunity;Notch signaling pathway;positive regulation of cyclin-dependent protein kinase activity involved in G1/S;epidermal growth factor-activated receptor transactivation by G-protein coupled receptor signaling pathway;response to high density lipoprotein particle stimulus;germinal center formation;positive regulation of cell proliferation;response to lipopolysaccharide;response to drug;JAK-STAT cascade involved in growth hormone signaling pathway;positive regulation of leukocyte chemotaxis;positive regulation of T cell chemotaxis;negative regulation of interleukin-8 production;positive regulation of epidermal growth factor-activated receptor activity;proteolysis;B cell differentiation;positive regulation of chemokine production;nerve growth factor receptor signaling pathway"
ADAM18	proteolysis;multicellular organismal development;spermatogenesis;cell differentiation
ADAM19	proteolysis
ADAM1A	-
ADAM2	proteolysis;cell adhesion;fusion of sperm to egg plasma membrane;visual learning;adult behavior
ADAM20	proteolysis;single fertilization
ADAM20P1	-
ADAM20P2	-
ADAM21	single fertilization;proteolysis
ADAM22	proteolysis;negative regulation of cell adhesion;central nervous system development
ADAM23	proteolysis;cell adhesion;central nervous system development
ADAM24P	-
ADAM28	proteolysis;spermatogenesis
ADAM30	proteolysis
ADAM32	proteolysis
ADAM33	proteolysis;integrin-mediated signaling pathway
ADAM3A	-
ADAM5	-
ADAM6	-
ADAM7	proteolysis
ADAM8	leukocyte migration involved in inflammatory response;positive regulation of cell migration;positive regulation of membrane protein ectodomain proteolysis;positive regulation of acute inflammatory response;positive regulation of T cell differentiation in thymus;positive regulation of NF-kappaB transcription factor activity;positive regulation of leukocyte migration;activation of MAPK activity involved in innate immune response;positive regulation of protein kinase B signaling cascade;positive regulation of cellular extravasation;negative regulation of neuron apoptosis;positive regulation of thymocyte apoptosis;proteolysis;positive regulation of bone resorption;cellular response to hypoxia;inflammatory response;positive regulation of cell adhesion;positive regulation of tumor necrosis factor (ligand) superfamily member 11 production;cell morphogenesis;positive regulation of protein processing;lymphocyte chemotaxis;angiogenesis;regulation of cell-cell adhesion;positive regulation of protein secretion
